GPU,FPSTest5
"GeForce RTX 5090", "642.8 fps"
"GeForce RTX 4090", "471.8 fps"
"Radeon RX 7900 XTX", "388.7 fps"
"GeForce RTX 5080", "382.8 fps"
"RTX 6000 Ada Generation", "338.7 fps"
"GeForce RTX 4080 SUPER", "321.2 fps"
"GeForce RTX 4080", "318.7 fps"
"GeForce RTX 5070 Ti", "316.4 fps"
"Radeon RX 7900 XT", "303.7 fps"
"Radeon RX 6950 XT", "297.5 fps"
"Radeon RX 9070 XT", "290.9 fps"
"Radeon RX 6900 XT", "283.0 fps"
"GeForce RTX 3090 Ti", "265.1 fps"
"GeForce RTX 4070 Ti SUPER", "263.2 fps"
"Radeon RX 9070", "253.0 fps"
"Radeon RX 6800 XT", "248.8 fps"
"Radeon RX 7900 GRE", "247.1 fps"
"GeForce RTX 4070 Ti", "238.4 fps"
"GeForce RTX 3080 Ti", "229.8 fps"
"Radeon RX 7800 XT", "229.0 fps"
"GeForce RTX 3090", "227.9 fps"
"RTX A6000", "217.6 fps"
"A40", "215.1 fps"
"GeForce RTX 4070 SUPER", "214.9 fps"
"Radeon RX 6800", "211.6 fps"
"GeForce RTX 3080", "204.3 fps"
"RTX 4500 Ada Generation", "198.2 fps"
"GeForce RTX 4070", "187.6 fps"
"RTX A5500", "179.5 fps"
"Radeon RX 6750 XT", "171.8 fps"
"GeForce RTX 3070 Ti", "171.5 fps"
"Radeon RX 7700 XT", "169.6 fps"
"Titan RTX", "167.8 fps"
"Radeon RX 6700 XT", "162.4 fps"
"RTX A6000-2B", "157.9 fps"
"GeForce RTX 2080 Ti", "156.4 fps"
"RTX A5000", "155.2 fps"
"GeForce RTX 3070", "147.9 fps"
"RTX A4500", "147.0 fps"
"GeForce RTX 2080 SUPER", "128.7 fps"
"GeForce RTX 4060 Ti", "128.7 fps"
"GeForce RTX 3060 Ti", "128.4 fps"
"Radeon RX 6700", "123.4 fps"
"Radeon VII", "122.3 fps"
"GeForce RTX 2080", "121.6 fps"
"Radeon RX 6650 XT", "118.3 fps"
"Radeon RX 7600 XT", "117.8 fps"
"RTX A4000", "117.3 fps"
"TITAN X (Pascal)", "117.2 fps"
"Radeon RX 7600", "115.5 fps"
"ASUS Radeon RX 5700 XT", "115.5 fps"
"Radeon RX 6600 XT", "115.1 fps"
"Radeon RX 5700 XT", "114.2 fps"
"GeForce RTX 2070 SUPER", "113.1 fps"
"GeForce GTX 1080 Ti", "112.2 fps"
"GeForce RTX 4060", "108.1 fps"
"RTX 4000 SFF Ada Generation", "108.0 fps"
"TITAN Xp", "102.7 fps"
"Radeon RX 5700", "99.3 fps"
"ASUS Radeon RX 5600 XT", "95.6 fps"
"GeForce RTX 3060", "95.4 fps"
"GeForce RTX 2070", "94.6 fps"
"GeForce RTX 2060 SUPER", "94.5 fps"
"RTX A5000", "93.8 fps"
"Radeon RX 6600", "91.7 fps"
"Radeon RX 5600 XT", "91.0 fps"
"Radeon RX 6600M (FrankenGPU)", "87.4 fps"
"Radeon RX 5700 XT", "87.1 fps"
"Radeon RX 6600 LE (FrankenGPU)", "86.0 fps"
"GeForce GTX 1080", "84.7 fps"
"GeForce RTX 2060", "82.1 fps"
"RTX 2000 Ada Generation", "79.3 fps"
"Radeon Vega Frontier Edition", "77.1 fps"
"GeForce GTX 1070 Ti", "76.0 fps"
"GeForce GTX 1070", "68.8 fps"
"GeForce GTX 1660 Ti", "67.9 fps"
"GeForce RTX 3060M FrankenGPU", "66.9 fps"
"GeForce GTX 980 Ti", "66.3 fps"
"GeForce GTX 1660 SUPER", "65.3 fps"
"Radeon R9 290X", "63.8 fps"
"GeForce GTX TITAN X", "61.3 fps"
"Radeon RX 5500 XT", "60.9 fps"
"RTX A2000", "60.5 fps"
"Radeon RX 5500", "60.1 fps"
"GeForce GTX 1660", "57.6 fps"
"Radeon RX 6500 XT", "57.2 fps"
"RTX A2000 12GB", "57.0 fps"
"CMP 50HX", "56.3 fps"
"Radeon(TM) R9 290X", "55.4 fps"
"Radeon R9 290", "55.0 fps"
"Radeon RX590 GME", "53.2 fps"
"Radeon RX 580", "52.3 fps"
"GeForce GTX 1650 SUPER", "51.0 fps"
"GeForce RTX 3050", "50.8 fps"
"GeForce GTX 780 Ti", "50.1 fps"
"Radeon RX 6550M", "49.8 fps"
"GeForce GTX 980", "49.4 fps"
"Radeon RX 580X", "48.3 fps"
"Radeon RX 580 2048SP", "48.1 fps"
"GeForce GTX TITAN Black", "47.9 fps"
"GeForce GTX 1060 6GB", "47.4 fps"
"Intel(R) Arc(TM) 140T GPU (16GB)", "47.4 fps"
"GeForce GTX 1060 3GB", "44.3 fps"
"GeForce GTX 1060 5GB", "42.7 fps"
"GeForce GTX TITAN", "42.6 fps"
"GeForce GTX 970", "42.1 fps"
"Radeon RX 6400", "41.7 fps"
"GeForce GTX 1060", "41.0 fps"
"Radeon RX 570", "40.8 fps"
"GeForce GTX 1650 Ti", "40.4 fps"
"Radeon(TM) RX 580", "39.4 fps"
"Radeon RX 6500", "38.5 fps"
"GeForce GTX 1650", "38.2 fps"
"GeForce RTX 2050", "37.4 fps"
"Radeon R9 285", "37.2 fps"
"Radeon R9 280x", "36.5 fps"
"Radeon R9 280", "30.6 fps"
"GeForce GTX 1050 Ti", "27.0 fps"
"GeForce GTX 960", "26.5 fps"
"Radeon R9 270X", "25.4 fps"
"Radeon RX 560X", "24.1 fps"
"GeForce GTX 1630", "23.7 fps"
"RTX A400", "23.4 fps"
"GeForce GTX 950", "22.0 fps"
"GeForce GTX 1050", "21.5 fps"
"Radeon RX 550", "15.8 fps"
"Radeon RX 550X", "15.7 fps"
"Radeon RX 550X", "13.7 fps"
"GeForce GT 1030", "12.6 fps"
